id,name,rarity,description,cost,tags,damage,damageType,attunement,stackable,weightEach,image,shape,container,containerRows,containerCols
elven_chain,Elven Chain,rare,You gain a +1 bonus to Armor Class while you wear this armor. You are considered trained with this armor even if you lack training with Medium or Heavy armor.,,generic_variant,,,,,,,,,,
energy_bow,Energy Bow,very_rare,"You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon, which has no string. Each time you pull your arm back in a firing motion, a magical arrow made of golden energy appears nocked and ready to fire. An arrow produced by this weapon deals Force damage instead of Piercing damage on a hit, and it disappears after it hits or misses its target.",,generic_variant,,,true,,,,,,,
enspelled_armor,Enspelled Armor,common,,,generic_variant,,,true,,,,,,,
enspelled_armor_cantrip,Enspelled Armor (Cantrip),uncommon,Bound into this armor is a cantrip. The cantrip is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn.,,generic_variant,,,true,,,,,,,
enspelled_armor_level_1,Enspelled Armor (Level 1),uncommon,Bound into this armor is a level 1 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn.,,generic_variant,,,true,,,,,,,
enspelled_armor_level_2,Enspelled Armor (Level 2),rare,Bound into this armor is a level 2 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn.,,generic_variant,,,true,,,,,,,
enspelled_armor_level_3,Enspelled Armor (Level 3),rare,Bound into this armor is a level 3 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn.,,generic_variant,,,true,,,,,,,
enspelled_armor_level_4,Enspelled Armor (Level 4),very_rare,Bound into this armor is a level 4 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn.,,generic_variant,,,true,,,,,,,
enspelled_armor_level_5,Enspelled Armor (Level 5),very_rare,Bound into this armor is a level 5 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn.,,generic_variant,,,true,,,,,,,
enspelled_armor_level_6,Enspelled Armor (Level 6),legendary,Bound into this armor is a level 6 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn.,,generic_variant,,,true,,,,,,,
enspelled_armor_level_7,Enspelled Armor (Level 7),legendary,Bound into this armor is a level 7 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn.,,generic_variant,,,true,,,,,,,
enspelled_armor_level_8,Enspelled Armor (Level 8),legendary,Bound into this armor is a level 8 spell. The spell is determined when the armor is created and must belong to the Abjuration or Illusion school of magic. The armor has 6 charges and regains 1d6 expended charges daily at dawn.,,generic_variant,,,true,,,,,,,
enspelled_weapon,Enspelled Weapon,common,,,generic_variant,,,true,,,,,,,
enspelled_weapon_cantrip,Enspelled Weapon (Cantrip),uncommon,"Bound into this weapon is a cantrip. The cantrip is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn.",,generic_variant,,,true,,,,,,,
enspelled_weapon_level_1,Enspelled Weapon (Level 1),uncommon,"Bound into this weapon is a level 1 spell. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn.",,generic_variant,,,true,,,,,,,
enspelled_weapon_level_2,Enspelled Weapon (Level 2),rare,"Bound into this weapon is a level 2 spell. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn.",,generic_variant,,,true,,,,,,,
enspelled_weapon_level_3,Enspelled Weapon (Level 3),rare,"Bound into this weapon is a level 3 spell. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn.",,generic_variant,,,true,,,,,,,
enspelled_weapon_level_4,Enspelled Weapon (Level 4),very_rare,"Bound into this weapon is a level 4 spell. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn.",,generic_variant,,,true,,,,,,,
enspelled_weapon_level_5,Enspelled Weapon (Level 5),very_rare,"Bound into this weapon is a level 5 spell. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn.",,generic_variant,,,true,,,,,,,
enspelled_weapon_level_6,Enspelled Weapon (Level 6),legendary,"Bound into this weapon is a level 6 spell. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn.",,generic_variant,,,true,,,,,,,
enspelled_weapon_level_7,Enspelled Weapon (Level 7),legendary,"Bound into this weapon is a level 7 spell. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn.",,generic_variant,,,true,,,,,,,
enspelled_weapon_level_8,Enspelled Weapon (Level 8),legendary,"Bound into this weapon is a level 8 spell. The spell is determined when the weapon is created and must belong to the Conjuration, Divination, Evocation, Necromancy, or Transmutation school of magic. The weapon has 6 charges and regains 1d6 expended charges daily at dawn.",,generic_variant,,,true,,,,,,,
executioner_s_axe,Executioner's Axe,very_rare,"You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon. Any Humanoid you hit with the weapon takes an extra 2d6 Slashing damage, and you gain Temporary Hit Points equal to the extra damage dealt.",,generic_variant,,,,,,,,,,
flame_tongue,Flame Tongue,rare,"While holding this magic weapon, you can take a Bonus Action and use a command word to cause flames to engulf the damage-dealing part of the weapon. These flames shed Bright Light in a 40-foot radius and Dim Light for an additional 40 feet. While the weapon is ablaze, it deals an extra 2d6 Fire damage on a hit.",,generic_variant,,,true,,,,,,,
frost_brand,Frost Brand,very_rare,"When you hit with an attack roll using this magic weapon, the target takes an extra 1d6 Cold damage. In addition, while you hold the weapon, you have Resistance to Fire damage. In freezing temperatures, the weapon sheds Bright Light in a 10-foot radius and Dim Light for an additional 10 feet.",,generic_variant,,,true,,,,,,,
giant_slayer,Giant Slayer,rare,"You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon. When you hit a Giant with this weapon, the Giant takes an extra 2d6 damage of the weapon's type and must succeed on a DC 15 Strength saving throw or have the Prone condition.",,generic_variant,,,,,,,,,,
hammer_of_thunderbolts,Hammer of Thunderbolts,legendary,"You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon. The weapon has 5 charges. You can expend 1 charge and make a ranged attack with the weapon, hurling it as if it had Thrown with a normal range of 20 feet and a long range of 60 feet.",,generic_variant,,,true,,,,,,,
holy_avenger,Holy Avenger,legendary,"You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon. When you hit a Fiend or an Undead with it, that creature takes an extra 2d10 Radiant damage. While you hold the drawn weapon, it creates a 10-foot Emanation originating from you.",,generic_variant,,,true,,,,,,,
luck_blade,Luck Blade,legendary,"You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon. While the weapon is on your person, you also gain a +1 bonus to saving throws. Luck.",,generic_variant,,,true,,,,,,,
mariner_s_armor,Mariner's Armor,uncommon,"While wearing this armor, you have a Swim Speed equal to your Speed. In addition, if you start your turn underwater with 0 Hit Points, you immediately regain 1d4 Hit Points. The armor can't heal anyone again until the next dawn.",,generic_variant,,,,,,,,,,
mithral_armor,Mithral Armor,uncommon,"Mithral is a light, flexible metal. A mithral chain shirt or breastplate can be worn under normal clothes. If the armor normally imposes disadvantage on Dexterity (Stealth) checks or has a Strength requirement, the mithral version of the armor doesn't.",,generic_variant,,,,,,,,,,
moon_touched_sword,Moon-Touched Sword,common,"In Darkness, the unsheathed blade of this weapon sheds moonlight, creating Bright Light in a 15-foot radius and Dim Light for an additional 15 feet.",,generic_variant,,,,,,,,,,
moonblade,Moonblade,legendary,"Of all the magic items created by elves, one of the most prized and jealously guarded is a Moonblade. In ancient times, nearly all elven noble houses claimed one such weapon. Over the centuries, some of these weapons have faded from the world, their magic lost as family lines have become extinct.",,generic_variant,,,true,,,,,,,
nine_lives_stealer,Nine Lives Stealer,very_rare,You gain a +2 bonus to attack rolls and damage rolls made with this magic weapon. Life Stealing. The weapon has 1d8 + 1 charges.,,generic_variant,,,true,,,,,,,
oathbow,Oathbow,very_rare,"When you nock an arrow on this bow, it whispers in Elvish, ""Swift defeat to my enemies."" When you use this weapon to make a ranged attack, you can utter or sign the following command words: ""Swift death to you who have wronged me."" The target of your attack becomes your sworn enemy until it dies or until dawn 7 days later. You can have only one such sworn enemy at a time. When your sworn enemy dies, you can choose a new one after the next dawn.",,generic_variant,,,true,,,,,,,
plate_armor_of_etherealness,Plate Armor of Etherealness (*),legendary,,,generic_variant,,,true,,,,,,,
silvered_weapon,Silvered Weapon,common,"An alchemical process has bonded silver to this magic weapon. When you score a Critical Hit with it against a creature that is shape-shifted, the weapon deals one additional die of damage.",,generic_variant,,,,,,,,,,
smoldering_armor,Smoldering Armor,common,"Wisps of harmless, odorless smoke rise from this armor while it is worn.",,generic_variant,,,,,,,,,,
sword_of_life_stealing,Sword of Life Stealing,rare,"When you attack a creature with this magic weapon and roll a 20 on the d20 for the attack roll, that target takes an extra 15 Necrotic damage if it isn't a Construct or an Undead, and you gain Temporary Hit Points equal to the amount of Necrotic damage taken.",,generic_variant,,,true,,,,,,,
sword_of_sharpness,Sword of Sharpness,very_rare,"When you attack an object with this magic weapon and hit, maximize your weapon damage dice against the target. When you attack a creature with this weapon and roll a 20 on the d20 for the attack roll, that target takes an extra 14 Slashing damage and gains 1 Exhaustion level.",,generic_variant,,,true,,,,,,,
sword_of_vengeance,Sword of Vengeance,uncommon,You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon. Curse. This weapon is cursed and possessed by a vengeful spirit.,,generic_variant,,,true,,,,,,,
sword_of_wounding,Sword of Wounding,rare,"When you hit a creature with an attack using this magic weapon, the target takes an extra 2d6 Necrotic damage and must succeed on a DC 15 Constitution saving throw or be unable to regain Hit Points for 1 hour. The target repeats the save at the end of each of its turns, ending the effect on itself on a success.",,generic_variant,,,true,,,,,,,
sylvan_talon,Sylvan Talon,common,"While this weapon is on your person, you understand the non-written communication of all Fey, and they understand yours. Secret Message. As a Magic action, you can use the weapon to cast Message.",,generic_variant,,,true,,,,,,,
vicious_weapon,Vicious Weapon,rare,This magic weapon deals an extra 2d6 damage to any creature it hits. This extra damage is of the same type as the weapon's normal damage.,,generic_variant,,,,,,,,,,
vorpal_sword,Vorpal Sword,legendary,"You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon. In addition, the weapon ignores Resistance to Slashing damage. When you use this weapon to attack a creature that has at least one head and roll a 20 on the d20 for the attack roll, you cut off one of the creature's heads.",,generic_variant,,,true,,,,,,,
walloping_ammunition,Walloping Ammunition,common,A creature hit by this ammunition must succeed on a DC 10 Strength saving throw or have the Prone condition.,,ammunition|generic_variant,,,,,,,,,,
weapon_of_warning,Weapon of Warning,uncommon,"As long as this weapon is within your reach and you are attuned to it, you and allies within 30 feet of you gain the following benefits. Alarm. The weapon magically awakens each subject who is sleeping naturally when combat begins.",,generic_variant,,,true,,,,,,,
